               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.021588,           0.0085402,           0.0018679,             0.99834,                   1,             0.99503,             0.73294,            0.022813,           0.0075892,           0.0020337,           0.0022365,           0.0022365,           0.0022365
                  91,            0.019929,           0.0090867,           0.0018013,             0.99834,                   1,             0.99503,             0.73294,            0.022813,           0.0075892,           0.0020337,           0.0021958,           0.0021958,           0.0021958
                  92,            0.021719,           0.0087298,           0.0020649,              0.9988,                   1,             0.99503,             0.73061,            0.023594,           0.0074226,           0.0019097,           0.0021588,           0.0021588,           0.0021588
                  93,            0.023291,           0.0082268,           0.0017858,             0.99949,                   1,             0.99503,             0.71017,            0.023708,           0.0073144,           0.0018183,           0.0021257,           0.0021257,           0.0021257
                  94,            0.021802,            0.008032,           0.0022819,             0.99924,                   1,             0.99503,             0.70907,            0.024025,           0.0071961,           0.0017272,           0.0020963,           0.0020963,           0.0020963
                  95,            0.019282,           0.0079804,           0.0015368,             0.99886,                   1,             0.99503,             0.72363,            0.022772,           0.0071609,           0.0016951,           0.0020709,           0.0020709,           0.0020709
                  96,            0.019617,           0.0078918,           0.0014399,             0.99886,                   1,             0.99503,             0.72363,            0.022772,           0.0071609,           0.0016951,           0.0020492,           0.0020492,           0.0020492
                  97,            0.022447,           0.0086483,           0.0016431,              0.9986,                   1,             0.99503,             0.71783,            0.026014,           0.0069883,           0.0016673,           0.0020315,           0.0020315,           0.0020315
                  98,            0.022127,           0.0082719,           0.0014771,             0.99861,                   1,             0.99503,             0.74048,            0.025919,           0.0069024,           0.0016255,           0.0020178,           0.0020178,           0.0020178
                  99,            0.021377,           0.0079211,           0.0013544,             0.99867,                   1,             0.99503,             0.71122,            0.023543,           0.0070123,           0.0015551,           0.0020079,           0.0020079,           0.0020079
